"Store","Date","#","Type","Status","#Missing Defaults","External Id","External Num"
"Uptown","6/29/26 11:10 am","2","Pickup","made","11","903fcbc5-21dc-4af4-b89b-704ac1570621","e4918e6c"
"Uptown","7/10/26 7:14 pm","200","Pickup","made","10","ef75f7ad-5819-4058-8cba-33301ddd828a","46acdd0d"
"Ocean Shore","7/4/26 12:00 pm","9","Pickup","made","9","4bb7aebf-6b2a-43e4-9d1a-9614a0b3d20c","e4850414"
"Uptown","6/10/26 5:15 pm","77","Pickup","made","8","910fcb87-c668-496f-b08b-2464aa9a935e","0099bd04"
"Uptown","6/25/26 5:12 pm","83","Pickup","made","8","86656bc9-9e15-4992-926f-4482e7418f27","c54e10b1"
"Port Orange","6/7/26 7:36 pm","151","Pickup","made","7","aebc1244-398a-4d05-80be-a4a1461f163c","eab4d27d"
"St Johns","6/5/26 5:47 pm","113","Pickup","made","7","22092ee8-45eb-447d-a810-5d63f6ec26a7","a1c99f92"
"Uptown","6/19/26 5:39 pm","145","Pickup","made","7","c6b6f808-b898-4d38-9def-5315f7b8cfb6","c4bf198a"
"Uptown","6/15/26 5:52 pm","84","Pickup","made","7","49789dce-f7cb-45ad-84f7-d93297251916","7d0d0059"
"St Johns","6/18/26 11:00 am","1","Pickup","made","6","62234460-f0af-4ae3-bef5-210f2edd54fb","49dfd2bb"
"St Johns","6/20/26 7:26 pm","198","Pickup","made","6","5c39d011-a5a6-4e10-8f19-ab00fe749a92","0260ddb7"
"St Johns","6/14/26 3:19 pm","46","Pickup","made","6","be620375-43cc-4608-8e3b-32695b7b7129","9537d000"
"Ponte Vedra Beach","6/13/26 12:07 pm","8","Pickup","made","6","aae27177-c0b7-467f-b363-43d687914d32","cc59c060"
"Ocean Shore","7/5/26 4:31 pm","94","Pickup","made","6","36310f5b-1c43-4be0-bcfd-445c816bda61","6569106d"
"Ormond Beach","6/3/26 6:56 pm","103","Pickup","made","6","b92810db-b404-4719-be45-cf88bbc7cc7b","6ababed6"
"St Johns","7/8/26 6:04 pm","89","Pickup","made","5","8ef6bba7-4b06-48ab-a308-aa41facb8f67","1cb5c7c0"
"Lake Mary","7/1/26 7:44 pm","164","Pickup","made","5","b6698f4a-f951-4680-a615-c1d662f0e565","8a2b994e"
"Uptown","6/19/26 5:13 pm","120","Pickup","made","5","e66f2679-b48a-4217-98e8-fe953a7db6fa","c336a985"
"Uptown","6/15/26 4:11 pm","45","Pickup","made","5","f87b034a-4124-40e8-a552-da7972e49b6d","9e872af8"
"St Johns","6/13/26 4:00 pm","54","Pickup","made","5","bbe4876c-d8e4-4ea3-adc1-67cf8f8131c1","38db9dc0"
"Uptown","7/13/26 5:03 pm","90","Pickup","made","5","f588546f-3256-4e87-be7d-5ec11350bf42","74b09297"
"State Highway Palm Coast","7/10/26 5:44 pm","91","Pickup","made","5","101f9258-c61b-42b2-8b33-74ab8636ab8e","c17301f6"
"State Highway Palm Coast","6/26/26 6:25 pm","123","Pickup","made","5","bfd7397c-fa87-46f7-975c-f658bf88d4ef","dfe40fa4"
"State Highway Palm Coast","6/26/26 6:02 pm","114","Pickup","made","5","cf22f04a-d669-4975-9c84-da1413ebe354","fc4f0e8a"
"State Highway Palm Coast","6/26/26 5:37 pm","106","Pickup","made","5","8d8f1a26-80f4-403e-999d-1978d76dcd70","42c14884"
"Port Orange","6/13/26 5:55 pm","97","Pickup","made","5","bbd1ce88-2678-4c35-957c-68f136c6c6a5","03582c2a"
"Ormond Beach","6/10/26 6:09 pm","93","Pickup","made","5","a8c4afd2-603e-4751-8d1c-c3cf40c2b6ed","da66bb49"
"Ocean Shore","7/3/26 6:26 pm","189","Pickup","made","5","6d445b1a-3530-414b-b732-d8f3ca6172d5","5b660712"
"Ocean Shore","6/4/26 7:40 pm","181","Pickup","made","5","1413aed7-ec9b-433e-9dab-4aca1f1662dd","799f81b3"
"St Johns","6/3/26 3:20 pm","39","Pickup","made","4","cb1f0691-29b7-4505-8166-7930e719996f","7ad68adc"
"Lake Mary","6/27/26 4:02 pm","87","Pickup","made","4","b78082f5-b80b-426d-881c-f45d90564033","cabd3927"
"Lake Mary","7/12/26 4:36 pm","117","Pickup","made","4","a88770ff-1fb8-43d3-8657-a7ee43ddabda","786f5615"
