"Store","Date","#","Type","Status","#Missing Defaults","External Id","External Num"
"Lexington","6/21/26 5:31 pm","84","Pickup","made","11","5f20953d-7a6b-4770-b910-1fb6caef73be","a64e55bc"
"Wellesley","6/14/26 4:51 pm","81","Pickup","made","9","1960b715-905b-4f6b-b140-789dcae0c3bf","97228919"
"Lexington","7/7/26 4:42 pm","67","Pickup","made","9","2806d8ef-b4aa-4829-8af3-c6c5d64f8599","b4ec805d"
"Concord","6/4/26 6:49 pm","128","Pickup","made","9","3dd83042-08ff-4c44-af26-3d0c7171632f","7a9bd381"
"Wellesley","6/11/26 7:19 pm","160","Pickup","made","9","d7012669-084a-4c00-9031-02f4373ac563","672ac3c6"
"Wellesley","6/19/26 5:35 pm","105","Pickup","made","9","06f27b7b-7c9d-4eb1-b223-d32858394ad2","afeaf80f"
"Burlington","6/30/26 6:05 pm","70","Pickup","made","7","d332d124-4815-4f32-8c3d-ea6055419a65","54ca714c"
"Belmont","6/17/26 12:54 pm","36","Pickup","made","7","27e284cd-006c-44c0-a501-d8e30ff9e98d","c3a611ea"
"Belmont","6/3/26 3:04 pm","44","Pickup","made","7","cb14278b-b6d6-43f8-853a-d6343b2c6cda","c57a7b75"
"Wellesley","6/6/26 6:15 pm","161","Pickup","made","7","f9c59cbc-87f7-4ecc-8c30-a7df3b232330","1d5690fc"
"Concord","6/22/26 6:10 pm","75","Pickup","made","7","8e6f63dd-617c-4361-8945-fd75f0cce805","df9b409e"
"Wellesley","7/2/26 11:00 am","6","Pickup","made","7","b8283ebb-0e05-4ebb-ba33-037624554317","2ab1f5a1"
"Newton","6/1/26 7:46 pm","108","Pickup","made","6","d5fea5db-aa73-4c6b-a7ff-e504b8cc31aa","a2d2a772"
"Newton","6/3/26 5:17 pm","58","Pickup","made","6","a66cae43-beff-44bd-acc0-9fc1c7bb9b2f","911fa066"
"Wellesley","7/1/26 5:47 pm","98","Pickup","made","6","37e669de-98e6-4ce3-ac76-8c773a182b3d","16d555c1"
"Lexington","6/9/26 5:29 pm","116","Pickup","made","6","9d6b55e4-211d-44aa-bf25-44902c6a252f","8935ccdf"
"Belmont","6/6/26 7:14 pm","145","Pickup","made","6","2d05a34c-1452-481c-a2be-1e6b268c1923","8fdf06d8"
"Wellesley","6/29/26 5:17 pm","66","Pickup","made","6","f90a4955-7492-4d7b-9b43-43fef3ba3b7c","15e1db63"
"Wellesley","7/6/26 12:42 pm","35","Pickup","made","6","4b76315d-263c-4dce-8b31-049ba6a7bef7","7e4da480"
"Wellesley","6/26/26 4:25 pm","68","Pickup","made","6","5529efa3-287a-42a4-89c4-47f1670b42ba","b6617e86"
"Concord","6/18/26 3:44 pm","50","Pickup","made","6","473354af-048f-4653-9d88-be766c65ae07","8a32f24d"
"Wellesley","7/5/26 6:02 pm","108","Pickup","made","6","cf12e360-e8a5-4c01-9ead-bb11b5af5a88","1cd491bf"
"Concord","6/17/26 6:55 pm","121","Pickup","made","5","c5f97c9b-10b1-48cc-9f91-0d50d0f7b804","3debf76a"
"Burlington","6/1/26 1:42 pm","13","Pickup","made","5","def11544-901d-4326-b6d9-2e496e92e439","b1ef3036"
"Concord","7/2/26 6:37 pm","102","Pickup","made","5","41a76c47-169b-44d9-b6c8-c3dace0793b5","2e10b4e1"
"Burlington","6/12/26 5:48 pm","66","Pickup","made","5","b454b9fc-d4b7-4623-8c89-58644a11654e","41647ccf"
"Belmont","7/1/26 6:13 pm","92","Pickup","made","5","270ea6fe-3ca7-4404-9672-c8a14844756e","fd9b82d6"
"Lexington","7/3/26 6:35 pm","106","Pickup","made","5","98125f25-0ad3-4586-aeaa-30a3d4eac209","5a3db264"
"Newton","6/15/26 5:26 pm","60","Pickup","made","5","ec5cf9bd-b44a-4b4b-9177-42af0865ad37","7e8bd750"
"Burlington","6/18/26 4:30 pm","45","Pickup","made","5","f109ff67-f3ae-42a8-b603-4726428a9d0c","f1c4142b"
"Concord","6/27/26 4:29 pm","69","Pickup","made","5","98b82951-2fb6-4130-80d6-54b70cfc09a6","1c221327"
"Wellesley","7/10/26 5:26 pm","88","Pickup","made","5","d94d8739-333f-4fd4-ad53-7d49c9cafad1","8b969a8f"
"Wellesley","7/2/26 5:25 pm","70","Pickup","made","5","6f89b405-2b9a-41b2-ae63-56218de5f31c","312bf391"
"Concord","6/22/26 2:50 pm","29","Pickup","made","5","2c030114-5c95-4ffb-950e-ae5f706a2a00","e48777c7"
"Newton","6/14/26 4:04 pm","3","Pickup","made","5","93765bcb-ca91-4486-a00f-6e76eff1a589","299433a8"
"Wellesley","7/12/26 5:20 pm","88","Pickup","made","5","4b1e1981-70db-40cf-9267-92be3e31769a","dd550c5f"
"Wellesley","7/12/26 6:38 pm","138","Pickup","made","5","2b612f20-6eb5-4b75-a517-1d0afd078a3c","3ad44f2b"
"Newton","6/3/26 4:30 pm","50","Pickup","made","5","bbed840d-ac77-41b8-90e0-29ccd0c5f032","14e4f515"
"Concord","6/3/26 8:21 pm","168","Pickup","made","5","8165df6f-5042-4dae-8908-b9d803d7a563","2799d22c"
"Concord","6/11/26 6:04 pm","99","Pickup","made","5","1412b256-6d93-4b53-9a3e-6a1c731a8937","0618eb6f"
"Burlington","6/15/26 6:42 pm","72","Pickup","made","5","47ccf227-15b5-42bb-be02-82fef4b41dee","a72ab330"
"Wellesley","6/15/26 5:27 pm","116","Pickup","made","5","e04a8ced-5f78-4a31-91d6-67a503c5feed","cb81462f"
"Newton","6/26/26 7:04 pm","137","Pickup","made","5","8088bf0b-cb4e-41be-b076-9a4f26447a71","03855abd"
"Wellesley","7/14/26 5:11 pm","79","Pickup","made","5","c7774e93-16c7-4a36-b322-42d677398296","afe79efa"
"Burlington","7/2/26 6:33 pm","66","Pickup","made","5","ab9ce334-5271-4b08-821b-53951c9bc5b7","55d5cbce"
"Concord","6/26/26 12:06 pm","4","Pickup","made","4","4f857dd2-ca43-4937-a827-585f4e4d85cb","fd1457e9"
"Concord","6/20/26 6:31 pm","127","Pickup","made","4","80861aae-bc10-4b00-9967-b6347b056ec3","2726bb87"
"Newton","7/2/26 7:31 pm","105","Pickup","made","4","dbb82817-36ae-445b-911c-848b1bdb8bcf","af4077fd"
"Wellesley","7/6/26 5:41 pm","115","Pickup","made","4","db65448b-6f48-482c-8a96-30522aa10c04","cb02cd20"
"Burlington","6/3/26 4:58 pm","42","Pickup","made","4","56448af3-27fc-4e05-88f4-13849fac4e54","d6534c4c"
"Wellesley","7/2/26 12:26 pm","25","Pickup","made","4","108c820f-78c1-4c0b-8bc3-40a019806c70","3bd3b65e"
"Wellesley","6/20/26 1:10 pm","23","Pickup","made","4","a3caca58-8e66-42bf-9cca-24fb29c2b568","cac5de8e"
"Wellesley","7/2/26 5:13 pm","65","Pickup","made","4","8e6067a8-b5a4-4346-a6db-f28f77128908","cfba9ed9"
"Wellesley","6/12/26 5:36 pm","125","Pickup","made","4","1ca2bddd-c3b1-444b-b1bd-428cfb1818af","4b8ae68f"
"Lexington","6/26/26 5:28 pm","93","Pickup","made","4","f49f0eb2-6f94-4c47-908e-f982ea58cc2f","b5869131"
"Wellesley","7/11/26 5:43 pm","88","Pickup","made","4","85cbea07-b62f-422e-a4d2-442688ee041a","90cfad70"
"Wellesley","6/27/26 5:46 pm","92","Pickup","made","4","10c26bbb-92b4-4b2e-bc50-3ea67e7743b2","1cd66e6a"
"Concord","6/9/26 5:57 pm","76","Pickup","made","4","f44f80e6-a439-435d-9490-d6cf3325c6ec","78420c1d"
"Concord","7/10/26 7:50 pm","200","Pickup","made","4","c1c39d61-c437-4296-af42-18be33a3055a","56f7e61c"
"Wellesley","6/22/26 6:41 pm","125","Pickup","made","4","b8b57f1e-e32c-48df-8813-520434a0b8d4","9bbe5977"
"Newton","7/3/26 7:18 pm","97","Pickup","made","4","d9fbd967-10f4-4fae-9bee-c24e5b9ee1e4","3bd62484"
"Burlington","6/24/26 1:44 pm","24","Pickup","made","4","84f66d60-e5c0-40f0-9df7-e7270a7bbe04","810c25f5"
