"Store","Date","#","Type","Status","#Missing Defaults","External Id","External Num"
"SPMO046 - Richmond Heights","7/4/26 12:32 am","241","Pickup","made","9","74a7d7a9-c5c6-4431-a720-cb5271f02043","79029952"
"SPMN038 - West St Paul","7/6/26 2:27 pm","5","Pickup","made","9","a770bf19-8fdb-42d9-97ad-3d69d4525430","f9ea236d"
"SPMO042 - Westport","6/29/26 12:23 am","791","Pickup","made","8","a65898d4-2bb3-4b98-9213-4eb81d506b18","84d5d518"
"SPMN038 - West St Paul","7/7/26 10:44 am","2","Pickup","made","7","d6ce5da0-00fb-4aa2-9c17-a4137503bae7","81534ee1"
"SPMN038 - West St Paul","7/7/26 10:09 am","1","Pickup","made","7","93783e81-317e-42e7-a4b9-4f1721902246","ab7fe0e9"
"SPKS028 - Shawnee","6/17/26 1:18 pm","852","Pickup","made","7","8114e09b-cc61-4ee1-b170-d76ba6f58c5d","531e8080"
"SPFL004 – Miramar","6/22/26 12:13 am","469","Pickup","made","7","2ecc829f-bf49-4686-b2a7-42afe79db07d","aa777c2a"
"SPMN030 - Oakdale","6/20/26 4:55 pm","122","Pickup","made","7","ffbf5ad2-6d18-4f86-824d-d93b970968e5","6625b720"
"SPMN030 - Oakdale","7/13/26 7:49 pm","129","Pickup","canceled","7","b4579beb-0457-4ca6-bb27-a3745f0ef424","5a6beed0"
"SPFL003 – Coral Springs","6/28/26 12:31 am","379","Pickup","made","6","c08df0d4-a9c1-414f-9d24-93aed1a3b2dc","51bd5664"
"SPIL018 - Evanston","6/20/26 10:41 am","899","Pickup","made","6","5708c799-b09b-4058-9a13-8cad4b406f8a","2baa2067"
"SPIL019 - Glen Ellyn","6/13/26 2:45 pm","947","Pickup","made","6","54957279-3699-4693-9cb4-9b73c9691e60","a8391417"
"SPMN038 - West St Paul","7/11/26 10:52 pm","63","Pickup","made","6","9c9294f0-07ca-4e4a-8d9a-327fc9d85cd2","f20040a4"
"SPKS027 - Olathe","7/2/26 9:10 pm","619","Pickup","made","6","31d17865-b907-4b6e-9a64-011fa81ed7a3","eb882983"
"SPIL018 - Evanston","7/10/26 6:39 pm","222","Pickup","made","6","03ad9bda-c347-4939-94e4-ee08e4709464","a2c39bbc"
"SPMO041 - Vivion","6/21/26 5:34 pm","868","Pickup","made","5","d77a9f67-24a0-4207-bb4a-d7ad1b598a59","86c4b2f9"
"SPMN038 - West St Paul","6/29/26 11:15 am","2","Pickup","made","5","dad3de8a-bd88-4efb-81d7-d6371320b5ae","4f19e01b"
"SPIL021 - La Grange","6/21/26 9:37 pm","73","Pickup","made","5","6b2ca1c8-bcd1-4f5d-ae3a-e6908d52dbbb","0a7e7b2e"
"SPIL011 - Palatine","6/17/26 12:11 am","80","Delivery","delivered","5","7a8d9ca0-79d9-44d8-a049-830d071c5550","7744af40"
"SPMO041 - Vivion","6/28/26 7:51 pm","631","Pickup","made","5","b93422dc-9c9f-4f14-9305-8bc117a94489","d970dd8a"
"SPGA005 - Downtown Atlanta","6/8/26 4:29 pm","197","Pickup","made","5","ede39122-eed7-4a77-aaee-9238deecf8e1","e7a773a6"
"SPIL015 - Bloomingdale","7/2/26 9:36 pm","84","Pickup","made","5","b09a1b31-3137-4bbb-80d6-6907da26bf33","785dfd48"
"SPKS028 - Shawnee","6/23/26 4:59 pm","639","Pickup","made","5","00df555a-773d-4646-8fe3-e4551ff7fc77","5737d24a"
"SPMN038 - West St Paul","7/4/26 7:41 pm","45","Pickup","made","5","266549c5-8984-47c8-9808-58da31a2ea0c","0bb41156"
"SPIL019 - Glen Ellyn","7/7/26 10:32 am","393","Pickup","made","5","e540ae9c-897a-4c63-bd0f-ffbc72d8b9f3","56e2c10f"
"SPIL016 - Downers Grove","6/13/26 11:46 pm","127","Delivery","delivered","5","211de683-d028-469c-8545-fab5b9e2395f","74f75f2e"
"SPMN030 - Oakdale","6/21/26 7:55 pm","271","Pickup","made","5","220c6ff5-4fd4-425e-ac59-a197397f42c8","1349e994"
